"BPI","Team"
1,"Villanova"
2,"Gonzaga"
3,"North Carolina"
4,"Virginia"
5,"Louisville"
6,"Duke"
7,"West Virginia"
8,"Florida"
9,"Kentucky"
10,"Kansas"
11,"Purdue"
12,"Saint Mary's"
13,"Oregon"
14,"UCLA"
15,"Wichita State"
16,"SMU"
17,"Baylor"
18,"Michigan"
19,"Cincinnati"
20,"Florida State"
21,"Wisconsin"
22,"Notre Dame"
23,"Iowa State"
24,"Arizona"
25,"Butler"
26,"Oklahoma State"
27,"Creighton"
28,"Miami"
29,"Marquette"
30,"Wake Forest"
31,"Syracuse"
32,"Indiana"
33,"Rhode Island"
34,"Clemson"
35,"Xavier"
36,"Dayton"
37,"Kansas State"
38,"Vanderbilt"
39,"VCU"
40,"Minnesota"
41,"Texas Tech"
42,"Houston"
43,"South Carolina"
44,"Michigan State"
45,"Middle Tennessee"
46,"Arkansas"
47,"Nevada"
48,"Northwestern"
49,"Virginia Tech"
50,"Maryland"
51,"Vermont"
52,"TCU"
53,"Seton Hall"
54,"Princeton"
55,"California"
56,"Providence"
57,"Alabama"
58,"Utah"
59,"USC"
60,"UNC Wilmington"
61,"Illinois State"
62,"Georgetown"
63,"UCF"
64,"Ohio State"
65,"Tennessee"
66,"Illinois"
67,"Georgia"
68,"UT Arlington"
69,"Pittsburgh"
70,"Davidson"
71,"Oklahoma"
72,"Belmont"
73,"East Tennessee State"
74,"Texas"
75,"Monmouth"
76,"Texas A&M"
77,"BYU"
78,"Ole Miss"
79,"Iowa"
80,"Florida Gulf Coast"
81,"St Bonaventure"
82,"Auburn"
83,"NC State"
84,"Bucknell"
85,"Akron"
86,"UNC Asheville"
87,"San Diego State"
88,"Connecticut"
89,"Ohio"
90,"Colorado"
91,"Penn State"
92,"Charleston"
93,"Louisiana Tech"
94,"Furman"
95,"Georgia Tech"
96,"Richmond"
97,"Loyola-Chicago"
98,"New Mexico State"
99,"Winthrop"
100,"St John's"
101,"Mississippi State"
102,"Valparaiso"
103,"Boise State"
104,"Chattanooga"
105,"Harvard"
106,"Oakland"
107,"Saint Peter's"
108,"Towson"
109,"Temple"
110,"Fresno State"
111,"UL Lafayette"
112,"Toledo"
113,"Lehigh"
114,"Albany"
115,"Fort Wayne"
116,"Colorado State"
117,"William & MaryW&"
118,"Memphis"
119,"CSU Bakersfield"
120,"Nebraska"
121,"San Francisco"
122,"Santa Clara"
123,"Troy"
124,"Old Dominion"
125,"UC Irvine"
126,"George Mason"
127,"Buffalo"
128,"Georgia State"
129,"UNC Greensboro"
130,"Missouri State"
131,"Stanford"
132,"Arkansas State"
133,"New Mexico"
134,"Iona"
135,"Eastern Michigan"
136,"Weber State"
137,"Kent State"
138,"La Salle"
139,"Yale"
140,"Lipscomb"
141,"George Washington"
142,"Rutgers"
143,"Georgia Southern"
144,"Mercer"
145,"North Dakota"
146,"Gardner-Webb"
147,"Elon"
148,"Wofford"
149,"Penn"
150,"Siena"
151,"North Carolina Central"
